电影名,评分,地区,类型,链接,图片
肖申克的救赎,9.7,美国,剧情,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
电影名,评分,地区,类型,链接,图片
控方证人,9.6,美国,剧情,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
电影名,评分,地区,类型,链接,图片
阿甘正传,9.5,美国,剧情,https://movie.douban.com/subject/1292720/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg
电影名,评分,地区,类型,链接,图片
辛德勒的名单,9.5,美国,剧情,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
电影名,评分,地区,类型,链接,图片
控方证人,9.5,美国,剧情,https://movie.douban.com/subject/5294851/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg
电影名,评分,地区,类型,链接,图片
十二怒汉（电视版）,9.5,美国,剧情,https://movie.douban.com/subject/10583098/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153875961.jpg
电影名,评分,地区,类型,链接,图片
泰坦尼克号,9.4,美国,剧情,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
电影名,评分,地区,类型,链接,图片
十二怒汉,9.4,美国,剧情,https://movie.douban.com/subject/1293182/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
电影名,评分,地区,类型,链接,图片
唐顿庄园：2015圣诞特别篇,9.4,美国,剧情,https://movie.douban.com/subject/26320001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2292519115.jpg
电影名,评分,地区,类型,链接,图片
疑犯追踪 试播集,9.4,美国,剧情,https://movie.douban.com/subject/24700683/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1974739828.jpg
电影名,评分,地区,类型,链接,图片
拜访森林,9.4,美国,剧情,https://movie.douban.com/subject/25741291/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2155898916.jpg
电影名,评分,地区,类型,链接,图片
盗梦空间,9.3,美国,剧情,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
电影名,评分,地区,类型,链接,图片
